pid,label,sent1,sent2,pred0,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36,pred37,pred38,pred39,pred40,pred41,pred42,pred43,pred44,pred45,pred46,pred47,pred48,pred49,pred50,pred51,pred52,pred53,pred54,pred55,pred56,pred57,pred58,pred59,pred60,pred61,pred62,pred63,pred64,pred65,pred66,pred67,pred68,pred69,pred70,pred71,pred72,pred73,pred74,pred75,pred76,pred77,pred78,pred79,pred80,pred81,pred82,pred83,pred84,pred85,pred86,pred87,pred88,pred89,pred90,pred91,pred92,pred93,pred94,pred95
1,1.0,oxycodone  roxicodone  5 mg tablet 0.5-1 tablets by mouth every 4 hours as needed.,pantoprazole  protonix  40 mg tablet enteric coated 1 tablet by mouth bid before meals.,2.219808,1.4886808,1.8720405,1.4886823,1.2933407,1.8278484,1.8720751,1.279621,1.9294155,1.7309109,1.8065712,1.730911,1.929416,1.2796211,1.163393,1.5392603,2.0460062,1.9202907,1.7093896,1.8065709,1.7093874,1.9618064,1.9618063,1.849103,1.293341,1.8278531,1.1633492,2.219811,1.8491061,2.0460105,1.9202886,1.5392596,1.6953485,1.9360873,1.483907,1.9360858,1.620502,1.6821394,1.4850409,1.9262942,1.9898806,1.5576032,1.734076,1.5575988,1.9898595,1.8882792,1.5189631,1.6420953,1.7784892,1.952835,1.5588472,1.7340745,1.5588572,1.901273,1.9012727,2.0204053,1.6204817,1.6821347,1.5192605,1.6732409,2.0120869,1.7778609,1.9528326,1.642095,1.8977139,1.6111544,1.7176801,1.6078718,1.2882576,1.6992179,1.7497874,1.4933741,1.6992636,1.5241922,1.4078103,1.528928,1.7007477,1.4847516,1.6159931,1.8146071,1.6962569,1.6843859,1.5780693,1.4079487,1.5886122,1.697313,1.6967207,1.6927036,1.369535,1.6981374,1.5876316,1.8358289,1.6798093,1.6963415,1.6864988,1.8180318
2,0.0,the patient has missed 0 hours of work in the past seven days for issues not related to depression., in the past year the patient has the following number of visits: none in the hospital  none in the er and  one as an outpatient.,0.27681306,0.15883833,0.13958797,0.15883985,0.19554682,0.039973345,0.13954484,0.09685694,0.14281662,0.14659661,0.0078523075,0.14659657,0.14281696,0.096855715,0.22775015,0.031855583,0.3690854,-0.082724705,0.3344241,0.00785289,0.3344204,0.048909172,0.048910044,0.23522462,0.19554679,0.03996995,0.22768584,0.27681285,0.23521675,0.36908618,-0.08272747,0.031856395,0.2182802,0.014905791,0.121999234,0.014906662,0.37248,0.17618643,0.122047625,0.35718706,0.41472706,0.12817055,0.24967477,0.12817213,0.41463035,0.2852435,0.20841767,0.4192569,0.2588282,0.1518522,0.1586328,0.24966036,0.15862826,0.06414703,0.06414689,0.21484195,0.372487,0.17617814,0.2084526,0.21513915,0.1785349,0.25853246,0.15183167,0.41926113,0.2601941,0.19157685,0.07104304,0.1928718,-0.1619223,0.30779272,0.0713792,-0.16193418,0.07701363,-0.15831076,0.37942323,-0.19665745,0.0730077,-0.16092467,-0.10659111,0.27484515,0.20005965,0.07286958,-0.120032184,0.3838258,-0.09798642,0.13208525,0.1266528,0.0008525159,-0.11675697,0.28526446,-0.041077144,0.29004723,-0.029262003,0.20014763,0.07369409,0.27506155
3,3.0," given current medication regimen, the following parameters should be monitored by outpatient providers: none"," given current medication regimen, the following parameters should be monitored by outpatient providers: lithium level",3.471485,4.120873,3.2290819,4.1208725,3.731683,3.4409356,3.2290468,3.589371,3.739408,3.4683287,3.7379827,3.46833,3.7394042,3.589369,3.0335972,4.4319696,3.7126257,3.3605528,3.6581197,3.7379827,3.6581228,3.950252,3.9502525,3.614673,3.7316828,3.4409373,3.033417,3.4714808,3.6146584,3.7126234,3.360552,4.43197,3.7193997,4.0855637,3.8881907,4.085563,3.7435243,3.8719885,3.888426,3.8364742,3.458765,3.8398166,4.227838,3.8398185,3.4589052,3.835816,3.7842278,3.7809973,3.403652,3.919588,3.6770077,4.227847,3.6769938,4.2013617,4.201362,3.8554773,3.7435615,3.871984,3.7843337,3.7245045,3.7758763,3.4022293,3.9196162,3.780992,3.0554776,2.7034693,2.8266447,2.6980586,2.5421586,2.879953,2.822953,2.0299838,2.9853723,2.7165687,3.0331237,2.7119222,2.9863632,2.0214317,2.9833395,3.3555248,2.4799416,3.101274,2.7229173,3.0442905,2.7237148,2.7042315,2.7004323,2.6366231,2.5377703,2.885128,2.9743092,2.6720133,2.509444,2.4804075,3.063058,3.3416061
4,4.0,the diagnosis and treatment plan were explained to the family caregiver who expressed understanding of the information presented., explained diagnosis and treatment plan; patient expressed adequate understanding of the information presented today.,4.166372,4.155372,4.281359,4.155372,4.385404,4.213116,4.2813487,4.3636928,4.453079,4.2846045,4.4312253,4.284606,4.453079,4.3636928,3.966502,4.169361,4.0569897,4.2785707,4.29855,4.431226,4.298549,4.2869396,4.286939,4.2369814,4.3854046,4.213116,3.9665058,4.166372,4.236981,4.056991,4.27857,4.1693616,4.436647,4.3431935,4.011999,4.343195,4.168574,4.2569256,4.01223,4.4205546,4.4251924,4.154812,4.3848825,4.1548123,4.4254,4.417423,3.8724883,4.521718,4.5016026,4.3231726,4.1797266,4.3848743,4.1797295,4.3517685,4.351768,4.4525785,4.16864,4.2569265,3.8725421,4.4324694,4.4091825,4.501291,4.3231697,4.521717,4.4620776,4.437406,4.771114,4.4350657,4.597808,4.4805717,4.787831,4.582512,4.689524,4.3947268,4.751922,4.3812213,4.686374,4.5836253,4.761934,4.6734815,4.2301497,4.4698443,4.512021,4.7523847,4.504711,4.5430617,4.5445185,4.8672447,4.6322317,4.46101,4.6976414,4.37154,4.719929,4.230255,4.462832,4.6702676
6,4.0,spent 25 minutes with the patient and greater than 50% of this time was spent counseling the patient regarding diagnosis and available treatment options., spent 15 minutes with the patient and greater than 50% of this time was spent counseling the patient regarding diagnosis and available treatment options; 025 modifier.,4.142222,4.5391006,4.2972307,4.5391016,4.4223084,4.5228252,4.297183,4.4330425,4.550351,4.431739,4.4589486,4.4317393,4.550351,4.433043,4.006979,4.5185018,4.075417,4.484114,4.316528,4.458949,4.316527,4.489146,4.4891467,4.591293,4.422308,4.522826,4.007002,4.1422215,4.591287,4.0754185,4.4841123,4.518502,4.339615,4.4528737,3.834589,4.4528728,4.3762774,4.213751,3.8345711,4.0927615,4.1169066,4.1899195,4.334711,4.1899204,4.1165943,4.0790353,3.7081168,4.2987866,4.238726,4.1424265,4.2130547,4.334731,4.213043,4.294599,4.294598,4.053601,4.3762703,4.2137427,3.7080376,4.329986,3.966309,4.2381744,4.1424246,4.2987776,4.559711,4.8092165,4.213937,4.805626,4.2986507,4.8863916,4.21645,4.1729317,4.496585,4.26606,4.735342,4.2499146,4.484795,4.153561,4.315781,4.820761,4.563822,4.8674135,4.3303447,4.7380323,4.323283,4.906618,4.9060674,4.385323,4.3144245,4.9088864,4.32524,4.5873423,4.307339,4.5639,4.8461375,4.828982
7,2.5,"respiratory: negative for cough, chest tightness, shortness of breath and stridor.","hent: negative for congestion, rhinorrhea, sinus pressure and sore throat.",1.523241,1.3486868,1.024651,1.3486946,1.179508,1.7197928,1.0246598,1.271902,2.4550433,1.4153855,1.4057059,1.4153814,2.4550436,1.2719011,0.756896,1.3323039,1.8918034,1.1779132,1.2498186,1.405702,1.2498227,1.4914232,1.4914216,2.0482268,1.179508,1.7197855,0.7569512,1.5232456,2.0482278,1.8917973,1.1779209,1.3323056,1.5087337,1.3180759,1.6873904,1.3180768,1.3100722,1.3840654,1.6888202,1.222994,1.4487213,1.2475829,1.1527724,1.247585,1.4485912,1.1743779,1.4479213,1.3506596,1.6571497,1.0790153,1.1942258,1.1527348,1.194227,1.1170597,1.1170576,1.200297,1.3101021,1.3840619,1.4475518,1.5045767,1.1837202,1.6571867,1.0790197,1.3506448,2.0471332,1.3169231,1.2766259,1.3192408,2.0535183,1.6058502,1.271642,1.9445677,3.2044947,1.6607127,1.9306433,1.6315292,3.18766,1.9563853,1.4430946,2.008335,1.7972147,1.3880072,1.2932394,1.9383205,1.3588842,1.2929697,1.2947522,2.9745023,2.148908,1.6009204,1.4137965,2.1423717,3.2353415,1.7969775,1.3966233,2.0304422
8,1.0,ondansetron  zofran  4 mg tablet 1 tablet by mouth three times a day as needed.,minocycline  minocin  50 mg capsule 1 capsule by mouth two times a day.,2.5411623,1.5695502,2.1233988,1.5695494,1.6975269,1.8209605,2.1234496,1.6974623,1.9852644,1.7553786,2.2574308,1.75538,1.9852644,1.6974627,1.1704425,2.0288382,2.3564343,1.9487746,1.7811687,2.25743,1.7811639,2.0386212,2.0386207,2.2512634,1.6975265,1.8209506,1.1703212,2.5411618,2.2512648,2.3564374,1.9487741,2.028838,1.9447967,1.8332732,1.8209126,1.8332736,1.4577273,1.6936624,1.8210527,1.8378135,1.6384822,1.4302747,1.9375119,1.4302711,1.6385258,1.7451787,1.8422964,1.7789484,1.524564,1.7488328,1.624008,1.937495,1.6240069,1.8711487,1.8711481,1.7514418,1.4577124,1.6936573,1.842287,1.9507344,1.703377,1.5244459,1.7488319,1.7789468,1.8691934,1.8295039,1.7125411,1.8311857,1.5246819,1.76298,1.7232356,1.7329513,1.7574524,1.376307,1.8728096,1.3942405,1.7531613,1.7258246,1.7174841,2.1839447,1.8758233,1.814245,1.5350084,1.875719,1.5302867,1.8463688,1.8451574,1.7306418,1.5664274,1.7565922,1.6690905,1.8010856,1.9009979,1.8759588,1.8021972,2.175908
9,4.9,explained diagnosis and treatment plan; patient child caregiver expressed understanding of the content, explained diagnosis and treatment plan; patient care giver expressed understanding of the content.,4.450604,4.6665893,4.9887824,4.666589,5.080812,4.669804,4.9887486,5.020282,5.02125,4.783912,4.771741,4.783912,5.02125,5.0202813,4.564239,4.7321024,4.449451,4.6312833,4.913939,4.7717414,4.9139395,4.654343,4.6543436,5.0096407,5.0808125,4.6698036,4.5642786,4.450604,5.009642,4.4494514,4.631283,4.7321024,4.691829,4.591843,4.6515255,4.591841,4.902959,4.5441127,4.651833,4.6407533,4.5753317,4.5961246,4.6995792,4.5961275,4.5752254,4.618957,4.632108,4.834146,4.6985307,4.4779015,4.5783653,4.699578,4.5783663,4.5621696,4.5621696,4.854067,4.90279,4.54411,4.6322074,4.689362,4.7923813,4.6987243,4.4778957,4.8341384,4.6437955,4.6280613,4.8770733,4.626874,5.013632,4.7482796,4.863121,4.898309,4.873168,4.5637183,4.9173207,4.559823,4.8707943,4.9072556,4.8654346,4.8536453,4.3757772,4.686974,4.853197,4.915432,4.8693695,4.7158213,4.715456,5.022155,5.030665,4.7338486,4.8119664,4.5196185,4.780078,4.3760896,4.6739063,4.8497963
10,3.0," identified illness as a learning need, identified follow-up care as a learning need, no barriers to learning were identified, no interventions were used to address barriers to learning, teaching methods used included printed patient instructions, verbal instructions, patient verbalized an understanding of discharge teaching."," patients primary language is english, teaching methods used included printed patient instructions, verbal instructions, patient verbalized an understanding of discharge teaching.",3.1434994,3.375175,3.2239845,3.3751748,3.2941172,3.2465308,3.223949,3.256514,3.2781372,3.2058687,3.4745336,3.2058675,3.2781367,3.2565129,2.8171377,3.3522034,3.051876,3.1431353,3.3878582,3.474533,3.3878582,3.2762926,3.2762923,3.523126,3.294118,3.2465303,2.8171027,3.1434977,3.5231268,3.051874,3.143137,3.3522031,3.4186258,3.086224,3.3403463,3.0862222,3.419438,3.2046916,3.3403888,3.2354147,3.3860233,3.2819006,3.7397377,3.2819018,3.3860128,3.219859,3.2227926,3.7092993,3.307247,3.2462783,3.302169,3.7397256,3.3021688,3.28565,3.2856483,3.5461705,3.419456,3.204684,3.222887,3.4139574,3.4539802,3.3068132,3.246274,3.7092772,3.2716362,3.1629744,3.0245295,3.1560056,2.9705708,3.213145,3.0515642,3.046588,2.9559262,2.7761035,3.4151707,2.8065746,2.9435935,3.0417957,2.9608192,3.549558,3.1516569,3.169481,3.0323777,3.4163942,3.036253,3.187288,3.18298,3.3057811,2.992979,3.2154593,2.936226,3.3987517,3.0624983,3.1515772,3.1652143,3.5484061
11,3.25," discussed the risks, benefits, alternatives, and the necessity of other members of the healthcare team, both male and female, participating in the procedure."," informed consent for unsedated bone marrow:  discussed risks, goals, and alternatives to bone marrow aspiration and biopsy, advance directives, and the necessity of other members of the healthcare team participating in the procedure with the patient.",3.1375253,2.9445355,2.9450626,2.9445364,3.3365223,3.066844,2.945059,3.3029952,3.3944976,2.787436,3.409131,2.787437,3.394498,3.3029954,2.5310256,3.2182193,3.1551857,3.1362433,2.813814,3.40913,2.8138158,3.0999672,3.0999663,3.5083838,3.3365211,3.0668452,2.531029,3.1375225,3.5083814,3.1551878,3.1362402,3.21822,3.3132136,2.697351,2.9207945,2.6973515,3.0937815,2.8549654,2.9211562,3.2917905,2.9663873,2.9541645,3.218158,2.9541662,2.966352,3.2920976,2.8851864,3.1186852,3.235358,3.1658957,3.0254974,3.2181458,3.0254917,3.191112,3.1911108,3.2325106,3.0937018,2.8549757,2.884858,3.316993,3.2298672,3.236074,3.1658976,3.1186898,3.4593782,3.3674934,3.3549721,3.3705323,3.3323174,3.42353,3.3172278,3.50355,3.5385559,3.269988,3.586945,3.2544093,3.5354586,3.5095682,3.2518005,3.6433642,3.1394122,3.3330386,3.5497406,3.584756,3.538775,3.3260107,3.321988,3.2778587,3.3727489,3.4170792,3.215443,3.5003064,3.1272187,3.1387718,3.3293202,3.6448758
